college_tier,placement_status,salary_package_lpa,salary_available,tech_skill,soft_skill,practical_skill,cgpa_scaled,backlogs_scaled,academic_points,branch_CSE,branch_Chemical,branch_ECE,branch_EE,branch_IT,branch_ME
3,1,14.75,1,0.5249768518518518,0.31666666666666665,0.7833333333333332,0.45000000000000007,0.0,0.615,0,0,1,0,0,0
2,0,,0,0.4542592592592592,0.40555555555555556,0.2,0.2833333333333333,0.0,0.4983333333333333,0,1,0,0,0,0
2,1,19.06,1,0.5590509259259259,0.3555555555555555,0.5666666666666667,0.5316666666666666,0.0,0.6721666666666666,0,0,0,1,0,0
2,0,,0,0.43083333333333335,0.22222222222222224,0.2833333333333333,0.41333333333333344,0.0,0.5893333333333334,0,0,0,0,0,0
2,1,13.42,1,0.33675925925925937,0.35,0.43333333333333335,0.45166666666666655,0.3333333333333333,0.5161666666666666,1,0,0,0,0,0
3,1,16.47,1,0.5896990740740741,0.3888888888888889,0.48333333333333334,0.3683333333333333,0.3333333333333333,0.4578333333333333,1,0,0,0,0,0
3,1,16.51,1,0.45293981481481477,0.8166666666666667,0.5,0.6516666666666667,0.0,0.7561666666666667,1,0,0,0,0,0
3,0,,0,0.4595370370370371,0.24999999999999997,0.3916666666666666,0.4916666666666666,0.0,0.6441666666666666,0,0,0,0,1,0
2,1,13.49,1,0.33266203703703706,0.4666666666666667,0.48333333333333334,0.505,0.0,0.6535,0,0,0,0,0,0
2,1,17.95,1,0.5273148148148148,0.27222222222222225,0.26666666666666666,0.5566666666666665,1.0,0.38966666666666655,0,0,0,1,0,0
1,1,19.63,1,0.5256944444444445,0.2333333333333333,0.2583333333333333,0.5199999999999999,0.0,0.6639999999999999,1,0,0,0,0,0
3,1,20.38,1,0.6183333333333334,0.4999999999999999,0.35833333333333334,0.33999999999999997,0.0,0.5379999999999999,0,1,0,0,0,0
2,1,21.08,1,0.5076157407407408,0.4944444444444444,0.48333333333333334,0.5266666666666667,0.6666666666666666,0.4686666666666667,0,0,0,0,1,0
2,1,20.26,1,0.47995370370370377,0.27222222222222225,0.85,0.3566666666666666,0.0,0.5496666666666665,1,0,0,0,0,0
2,1,15.68,1,0.426412037037037,0.2944444444444444,0.35,0.6116666666666667,1.0,0.42816666666666664,1,0,0,0,0,0
3,0,,0,0.5035185185185186,0.6,0.3416666666666666,0.5616666666666666,0.6666666666666666,0.49316666666666664,1,0,0,0,0,0
2,1,13.91,1,0.4441203703703704,0.3055555555555555,0.2,0.36,0.3333333333333333,0.452,0,0,1,0,0,0
